Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	64	16	8192	8388608	12.78003120124805
all-gemms	64	32	16	32768	9.142857142857142
all-gemms	64	32	32	65536	12.8
all-gemms	64	32	64	131072	16.0
all-gemms	64	32	128	262144	18.285714285714285
all-gemms	64	32	256	524288	19.692307692307693
all-gemms	64	32	512	1048576	20.48
all-gemms	64	32	1024	2097152	20.897959183673468
all-gemms	64	32	2048	4194304	21.11340206185567
all-gemms	64	32	4096	8388608	21.22279792746114
all-gemms	64	32	8192	16777216	21.277922077922078
all-gemms	64	64	16	65536	10.666666666666666
all-gemms	64	64	32	131072	16.0
all-gemms	64	64	64	262144	21.333333333333332
all-gemms	64	64	128	524288	25.6
all-gemms	64	64	256	1048576	28.444444444444443
all-gemms	64	64	512	2097152	30.11764705882353
all-gemms	64	64	1024	4194304	31.03030303030303
all-gemms	64	64	2048	8388608	31.50769230769231
all-gemms	64	64	4096	16777216	31.751937984496124
all-gemms	64	64	8192	33554432	31.875486381322958
all-gemms	64	128	16	131072	11.636363636363637
all-gemms	64	128	32	262144	18.285714285714285
all-gemms	64	128	64	524288	25.6
all-gemms	64	128	128	1048576	32.0
all-gemms	64	128	256	2097152	36.57142857142857
all-gemms	64	128	512	4194304	39.38461538461539
all-gemms	64	128	1024	8388608	40.96
all-gemms	64	128	2048	16777216	41.795918367346935
all-gemms	64	128	4096	33554432	42.22680412371134
all-gemms	64	128	8192	67108864	42.44559585492228
all-gemms	64	256	16	262144	12.19047619047619
all-gemms	64	256	32	524288	19.692307692307693
all-gemms	64	256	64	1048576	28.444444444444443
all-gemms	64	256	128	2097152	36.57142857142857
all-gemms	64	256	256	4194304	42.666666666666664
all-gemms	64	256	512	8388608	46.54545454545455
all-gemms	64	256	1024	16777216	48.76190476190476
all-gemms	64	256	2048	33554432	49.951219512195124
all-gemms	64	256	4096	67108864	50.5679012345679
all-gemms	64	256	8192	134217728	50.88198757763975
all-gemms	64	512	16	524288	12.487804878048781
all-gemms	64	512	32	1048576	20.48
all-gemms	64	512	64	2097152	30.11764705882353
all-gemms	64	512	128	4194304	39.38461538461539
all-gemms	64	512	256	8388608	46.54545454545455
all-gemms	64	512	512	16777216	51.2
all-gemms	64	512	1024	33554432	53.89473684210526
all-gemms	64	512	2048	67108864	55.351351351351354
all-gemms	64	512	4096	134217728	56.10958904109589
all-gemms	64	512	8192	268435456	56.49655172413793
all-gemms	64	1024	16	1048576	12.641975308641975
all-gemms	64	1024	32	2097152	20.897959183673468
all-gemms	64	1024	64	4194304	31.03030303030303
all-gemms	64	1024	128	8388608	40.96
all-gemms	64	1024	256	16777216	48.76190476190476
all-gemms	64	1024	512	33554432	53.89473684210526
all-gemms	64	1024	1024	67108864	56.888888888888886
all-gemms	64	1024	2048	134217728	58.51428571428571
all-gemms	64	1024	4096	268435456	59.36231884057971
all-gemms	64	1024	8192	536870912	59.7956204379562
all-gemms	64	2048	16	2097152	12.720496894409937
all-gemms	64	2048	32	4194304	21.11340206185567
all-gemms	64	2048	64	8388608	31.50769230769231
all-gemms	64	2048	128	16777216	41.795918367346935
all-gemms	64	2048	256	33554432	49.951219512195124
all-gemms	64	2048	512	67108864	55.351351351351354
all-gemms	64	2048	1024	134217728	58.51428571428571
all-gemms	64	2048	2048	268435456	60.23529411764706
all-gemms	64	2048	4096	536870912	61.134328358208954
all-gemms	64	2048	8192	1073741824	61.59398496240601
all-gemms	64	4096	16	4194304	12.7601246105919
all-gemms	64	4096	32	8388608	21.22279792746114
all-gemms	64	4096	64	16777216	31.751937984496124
all-gemms	64	4096	128	33554432	42.22680412371134
all-gemms	64	4096	256	67108864	50.5679012345679
all-gemms	64	4096	512	134217728	56.10958904109589
all-gemms	64	4096	1024	268435456	59.36231884057971
all-gemms	64	4096	2048	536870912	61.134328358208954
all-gemms	64	4096	4096	1073741824	62.06060606060606
all-gemms	64	4096	8192	2147483648	62.534351145038165
all-gemms	64	8192	16	8388608	12.78003120124805
all-gemms	64	8192	32	16777216	21.277922077922078
all-gemms	64	8192	64	33554432	31.875486381322958
all-gemms	64	8192	128	67108864	42.44559585492228
all-gemms	64	8192	256	134217728	50.88198757763975
all-gemms	64	8192	512	268435456	56.49655172413793
all-gemms	64	8192	1024	536870912	59.7956204379562
all-gemms	64	8192	2048	1073741824	61.59398496240601
all-gemms	64	8192	4096	2147483648	62.534351145038165
all-gemms	64	8192	8192	4294967296	63.01538461538462
all-gemms	128	16	16	32768	7.529411764705882
all-gemms	128	16	32	65536	9.846153846153847
all-gemms	128	16	64	131072	11.636363636363637
all-gemms	128	16	128	262144	12.8
all-gemms	128	16	256	524288	13.473684210526315
all-gemms	128	16	512	1048576	13.837837837837839
all-gemms	128	16	1024	2097152	14.027397260273972
all-gemms	128	16	2048	4194304	14.124137931034483
